一	m
剽	mfln
劃	lmln
劇	yoln
劈	sjsh
劉	hcln
劍	ooln
劑	yxln
力	ks
加	ksr
功	mks
劣	fhks
劫	giks
助	bmks
努	veks
劬	prks
劾	yoks
勇	nbks
勉	nuks
勃	jdks
勁	mmks
勒	tjks
務	nhoks
勘	tvks
動	hgks
勞	ffbks
勝	bfqs
勛	rcks
募	taks
勦	vdks
勤	tmks
勢	giks
勵	mbks
勸	tgks
勻	pmm
勾	pi
勿	phh
包	pru
匆	pkk
匈	puk
匍	pijb
匐	pmrw
匏	kspru
匕	uh
化	op
北	lmp
匙	aop
匝	slb
匡	smg
匠	shml
匣	swl
匪	slmy
匯	seog
匱	slmc
匹	sc
匿	stkr
區	srrr
匾	shsb
十	j
千	hj
午	oj
升	ht
卅	tj
仟	ohj
半	fq
卉	jt
卒	yooj
協	jkss
卓	yaj
卑	hwhj
南	jbtj
博	jibi
卜	y
卞	yy
卡	ymy
占	yr
卦	ggy
卯	hhsl
卮	hmsu
印	hpsl
危	nmsu
即	aisl
卵	hhsli
卷	fqsu
卸	omsl
卹	htsl
卻	crsl
卿	hhail
厄	msu
厚	mand
原	mhaf
厝	mta
厥	mtuo
厭	mabk
厲	mtwb
去	gi
參	iiih
又	nk
叉	ei
友	ke
及	nhe
反	he
取	sje
叔	yfe
受	bbe
叛	fqhe
叟	hxle
曼	awle
叢	tcte
口	r
可	mnr
古	jr
右	kr
召	shr
叮	rmn
叩	rsl
叨	rsh
叼	rsm
司	smr
叵	sr
叫	rvl
另	rks
只	rc
史	lk
叱	rp
台	ir
句	pr
叭	rc
吉	gr
吏	jlk
同	bmr
吊	rlb
吐	rg
吁	rmd
吋	rdi
各	her
向	hbr
名	nir
合	omr
吃	ron
后	hmr
吆	rvi
吒	rhp
吝	ykr
吭	ryhn
吞	mkr
吾	mmr
否	mfr
呎	rso
吧	rau
呆	rd
呃	rmsu
吳	rvnk
呈	rhg
呂	rhr
君	skr
吩	rcsh
告	hgr
吹	rno
吻	rphh
吸	rnhe
吮	rihu
吵	rfh
吶	rob
吠	rik
吼	rndu
呀	rmvh
吱	rje
含	oinr
吟	roin
味	rjd
呵	rmnr
咖	rksr
呸	rmfm
咕	rjr
咀	rbm
呻	rlwl
呷	rwl
咄	ruu
咒	rrhn
咆	rpru
呼	rhfd
咐	rodi
呱	rhvo
呶	rve
和	hdr
咚	rhey
呢	rsp
周	bgr
咋	ros
命	omrl
咎	hor
咬	ryck
哀	yrhv
咨	mor
哎	rtk
哉	jir
咸	ihmr
咦	rkn
咳	ryvo
哇	rgg
哂	rmcw
咽	rwk
咪	rfd
品	rrr
哄	rtc
哈	romr
咯	rher
咫	sorc
咱	rhbu
咻	rod
哨	rfb
唐	ilr
唁	rymr
唷	ryib
哼	ryrn
哥	mrnr
哲	qlr
唆	rice
哺	rijb
唔	rmmr
哩	rwg
哭	rrik
員	rbuc
唉	riok
哮	rjkd
哪	rsql
哦	rhqi
唧	rail
商	ycbr
啪	rqha
啦	rqyt
啄	rmso
啞	rmlm
啡	rlmy
啃	rymb
啊	rnlr
唱	raa
啖	rff
問	anr
啕	rpou
唯	rog
啤	rhwj
唸	roip
售	ogr
啜	reee
唬	rypu
啣	roml
唳	rhsk
啻	ybr
喀	rjhr
喧	rjmm
啼	rybb
喊	rihr
喝	rapv
喘	rumb
喂	rwmv
喜	grtr
喪	grrv
喔	rsmg
喇	rdln
喋	rptd
喃	rjbj
喳	rdam
單	rrwj
喟	rwb
唾	rhjm
喲	rvfi
喚	rnbk
喻	romn
喬	hkrbr
喱	rmwg
啾	rhdf
喉	ronk
嗟	rtqm
嗨	reoy
嗓	reed
嗦	rjbf
嗎	rsqf
嗜	rjpa
嗇	gowr
嗑	rgit
嗣	rbsmr
嗤	rumi
嗯	rwkp
嗚	rhrf
嗡	rcim
嗅	rhuk
嗆	roir
嗥	rhaj
嗾	rysk
嘀	rycb
嘛	rijc
嘗	fbrpa
嗽	rdlo
嘔	rsrr
嘆	rtlo
嘉	grtr
嘍	rllv
嘎	rmui
嗷	rgsk
嘖	rqmc
嘟	rjal
嘈	rtwa
嘮	rffs
嘻	rgrr
嘹	rkcf
嘲	rjjb
嘿	rwgf
嘩	rtmj
噓	rypm
噎	rgbt
噗	rtco
噴	rjtc
嘶	rtcl
嘯	rlx
嘰	rvii
噙	royb
噫	rytp
噹	rfbw
噩	mgrr
噤	rddf
噸	rpuc
嘴	rypb
噪	rrrd
器	rrikr
噥	rtwv
噱	rypo
噯	rbbe
噬	rhmo
噢	rhbk
嚎	ryro
嚀	rjpn
嚐	rfba
嚅	rmbb
嚇	rgcc
嚏	rjbo
嚕	rnwa
嚮	vlhbr
嚥	rtlf
嚨	rybp
嚷	ryrv
嚶	rbcv
嚴	rrmmk
嚼	rbwi
囁	rsjj
囀	rjji
囂	rrmcr
囈	rtgi
囊	jbrrv
囉	rwlg
囌	rtnd
囑	rsei
四	wc
囚	wo
因	wk
回	wr
囪	hwkk
困	wd
囤	wpu
固	wjr
圃	wijb
圈	wfqu
國	wirm
圍	wdmq
園	wgrv
圓	wrbc
團	wjii
圖	wryw
土	g
圳	glll
地	gpd
在	klg
圭	gg
圬	gmms
圯	gru
坊	gyhs
坑	gyhn
址	gylm
坍	gby
均	gpmm
坎	gno
圾	gnhe
坐	oog
坏	gmf
垃	gyt
坷	gmnr
坪	gmfj
坩	gtm
坡	gdhe
坦	gam
坤	glwl
坼	ghmy
垂	hjtm
型	mng
垠	gav
垣	gmam
垢	ghmr
城	gihs
垮	gkms
埂	gmlk
埔	gijb
埋	gwg
埃	giok
域	girm
堅	seg
堊	mmg
堆	gog
埠	ghrj
埤	ghwj
基	tcg
堂	fbrg
堵	gjka
執	gjkni
培	gytr
堯	gggu
堪	gtmv
場	gamh
堤	gamo
堰	gsav
報	gjsle
堡	odg
塞	jtcg
塑	tbg
塘	gilr
塗	edg
塚	gbmo
塔	gtor
填	gjbc
塌	gasm
塭	gwot
塊	ghui
塢	ghrf
塵	ipg
塾	yig
境	gytu
墓	takg
墊	gig
塹	jlg
墅	wng
墀	gseq
墟	gypm
增	gcwa
墳	gjtc
墜	nog
墮	nbg
壁	sjg
墾	bvg
壇	gywm
壅	yvgg
壕	gyro
壓	mkg
壑	yeg
壙	gitc
壘	wwwg
壞	gywv
壟	ypg
壢	gmhm
壤	gyrv
壩	gmbb
士	jm
壬	hg
壯	vmg
壹	gbmt
壺	gblm
壽	gnmi
夏	muhe
夔	tche
夕	ni
外	niy
夙	hnmni
多	nini
夜	yonk
夠	nnpr
夥	wdnin
夢	twln
夤	nijmc
大	k
天	mk
夫	qo
太	ki
夭	hk
央	lbk
失	hqo
夷	kn
夸	kmms
夾	koo
奉	qkq
奇	kmnr
奈	kmmf
奄	klwu
奔	kjt
奕	yck
契	qhk
奏	qkhk
奎	kgg
奐	nbk
套	ksmi
奘	vgk
奚	bvik
奢	kjka
奠	twk
奧	hbk
奪	kogi
奩	ksrr
奮	kogw
女	v
奴	ve
奶	vnhs
妄	yvv
奸	vmj
妃	vsu
好	vnd
她	vpd
如	vr
妁	vpi
妝	vmv
妒	vhs
妨	vyhs
妞	vng
妣	vpp
妙	vfh
妖	vhk
妍	vmt
妤	vnin
妓	vje
妊	vhg
妥	bv
妾	ytv
妻	jlv
委	hdv
妹	vjd
妮	vsp
姑	vjr
姆	vwyi
姐	vbm
姍	vbt
始	vir
姓	vhqm
姊	vlxh
妯	vlw
妳	vnf
姒	vvio
姜	tgv
姘	vtt
姿	mov
姣	vyck
姨	vkn
娃	vgg
姥	vjkp
姪	vmig
姚	vlmo
姦	vvv
威	ihmv
姻	vwk
娑	ehv
娘	viav
娜	vsql
娟	vrb
娛	vrvk
娓	vshu
姬	vsll
娠	vmmv
娣	vcnh
娩	vnau
娥	vhqi
娌	vwg
娶	sev
婁	llv
婉	vjnu
婦	vsmb
婪	ddv
婀	vnlr
娼	vaa
婢	vhwj
婚	vhpa
婆	eev
婊	vqmv
婷	vyrn
媚	vahu
婿	vnob
媒	vtmd
媛	vbme
嫁	vjmo
嫉	vkok
嫌	vtxc
媾	vttb
媽	vsqf
媼	vwot
媳	vhup
嫂	vhxe
媲	vhwp
嫡	vycb
嫦	vfbb
嫩	vdlk
嫗	vsrr
嫖	vmwf
嫘	vwvf
嫣	vmyf
嬉	vgrr
嫻	vand
嬋	vrrj
嫵	votf
嬌	vhkb
嬝	vhav
嬴	ynv
嬰	bcv
嬪	vjmc
嬤	vici
嬸	vjhw
孀	vmbu
子	nd
孑	nnm
孓	nno
孔	ndu
孕	nsnd
字	jnd
存	klnd
孝	jknd
孜	ndok
孚	bnd
孟	ndbt
孤	ndhvo
季	hdnd
孩	ndyvo
孫	ndhvf
孰	ydkni
孳	tvid
孱	sndd
孵	hhsld
學	hbnd
孺	ndmbb
孽	tjnd
孿	vfnd
它	jp
宇	jmd
守	jdi
宅	jhp
安	jv
完	jmmu
宋	jd
宏	jki
宗	jmmf
定	jmyo
官	jrlr
宜	jbm
宙	jlw
宛	jniu
宣	jmam
宦	jsll
室	jmig
客	jher
宥	jkb
宰	jytj
害	jqmr
家	jmso
宴	jav
宮	jrhr
宵	jfb
容	jcor
宸	jmmv
寇	jmue
寅	jmlc
寄	jkmr
寂	jyfe
宿	joma
密	jphu
寒	jtcy
富	jmrw
寓	jwlb
寐	jvmd
寞	jtak
寧	jpbn
寡	jmch
寥	jsmh
實	jwjc
寨	jtcd
寢	jvme
寤	jvmr
察	jbof
寮	jkcf
寬	jtbi
審	jhdw
寫	jhxf
寵	jybp
寶	jmuc
寸	di
寺	gdi
封	ggdi
射	hhdi
尉	sfdi
專	jidi
將	vmbdi
尊	twdi
尋	smmri
對	tgdi
導	yudi
小	nc
少	fh
尖	fk
尚	fbr
尤	iku
尬	kuoll
就	yfiku
尷	kusmt
尸	s
尺	so
尼	sp
局	ssr
屁	spp
尿	se
尾	shqu
屈	suu
居	sjr
屆	sug
屎	sfd
屏	stt
屍	smnp
屋	smig
屑	sfb
展	stv
屐	shoe
屠	sjka
屜	shot
屢	sllv
層	scwa
履	shoe
屬	sewi
屯	pu
山	u
屹	uon
岐	uje
岑	uoin
岔	cshu
岌	unhe
岷	urvp
岡	btu
岸	ummj
岩	umr
岫	ulw
岱	opu
岳	omu
峙	ugdi
峭	ufb
峽	ukoo
峻	uice
峪	ucor
峨	uhqi
峰	uhej
島	hayu
崁	ugno
崇	ujmf
崆	ujcm
崎	ukmr
崛	usuu
崖	umgg
崢	ubsd
崑	uapp
崩	ubb
崔	uog
崙	uomb
嵌	utmo
嵐	uhni
嵩	uyrb
嶄	ujjl
嶇	usrr
嶝	unot
嶼	uhxc
嶺	uoic
嶽	ukhk
巍	uhvi
巔	ujcc
巒	vfu
巖	urrk
川	lll
州	ilil
巢	vvwd
工	mlm
巨	ss
巧	mmvs
左	km
巫	moo
差	tqm
己	su
已	su
巳	ru
巴	au
巷	tcru
巽	rutc
巾	lb
市	ylb
布	klb
帆	lbhni
希	kklb
帘	jclb
帚	smblb
帖	lbyr
帕	lbha
帛	halb
帑	velb
帝	yblb
帥	hrlb
席	itlb
師	hrmlb
常	fbrlb
帶	kpblb
帳	lbsmv
帷	lbog
幅	lbmrw
帽	lbabu
幀	lbybc
幌	lbafu
幛	lbytj
幣	fklb
幕	takb
幗	lbwim
幔	lbawe
幢	lbytg
幟	lbyia
幫	gihab
干	mj
平	mfj
并	tt
年	oq
幸	gtj
幹	jjomj
幻	vis
幼	viks
幽	uvii
幾	vihi
序	inin
庇	ipp
床	id
庚	ilo
店	iyr
府	iodi
底	ihpm
庖	ipru
庠	itq
度	ite
庫	ijwj
庭	inkg
座	ioog
康	ile
庸	ilb
庶	itf
庵	iklu
庾	ihxo
廊	iiil
廁	ibcn
廂	idbu
廉	itxc
廈	imue
廓	iydl
廖	ismh
廢	inoe
廚	igti
廟	ijjb
廝	itcl
廣	itmc
廠	ifbk
龐	iybp
廬	iypt
廳	isgp
廷	nkhg
延	nkhym
建	nklq
廿	t
弁	it
弄	mgt
弈	yct
弊	fkt
式	ipm
弒	kcipm
弓	n
弔	nl
引	nl
弘	ni
弗	lln
弛	npd
弟	cnlh
弦	nyvi
弧	nhvo
弩	ven
弭	nsj
弱	nmnim
張	nsmv
強	nili
弼	nman
彆	fkn
彈	nrrj
彌	nmfb
彎	vfn
彗	qjsm
彙	vmbwd
彞	nmfft
彤	byhhh
形	mthhh
彥	ykmhh
彬	ddhh
彩	bdhhh
彫	brhhh
彭	gthhh
彰	yjhhh
影	afhhh
彷	hoyhs
役	hohne
往	hoyg
征	homym
彿	holln
彼	hodhe
很	hoav
待	hogdi
徊	howr
律	holq
徇	hopa
後	hovie
徒	hogyo
徑	homvm
徐	hoomd
得	hoami
徙	hoylo
從	hoooo
徘	holmy
御	hooml
復	hooae
循	hohju
徨	hohag
徬	hoybs
微	houuk
徹	hoybk
德	hojwp
徵	hougk
徽	houfk
心	p
必	ph
忙	pyv
忖	pdi
忘	yvp
忌	sup
志	gp
忍	sip
忱	plbu
快	pdk
忝	hkp
忠	lp
忽	php
念	oinp
忿	cshp
怏	plbk
怔	pmym
怯	pgi
怵	pijc
怖	pklb
怪	peg
怕	pha
怡	pir
性	phqm
怒	vep
思	wp
怠	irp
急	nmp
怎	osp
怨	nup
恍	pfmu
恰	pomr
恨	pav
恢	pkf
恆	pmbm
恃	pgdi
恬	phjr
恫	pbmr
恪	pher
恤	phbt
恙	tgp
恣	mop
恥	sjp
恐	mnp
恕	vrp
恭	tcp
恩	wkp
息	hup
悄	pfb
悟	pmmr
悚	pdl
悍	pamj
悔	powy
悌	pcnh
悅	pcru
悖	pjbd
恿	nbp
患	llp
悉	hdp
悠	okp
您	ofp
惋	pjnu
悴	pyoj
惦	piyr
悽	pjlv
情	pqmb
悻	pgtj
悵	psmv
惜	pta
悼	pyaj
惘	pbtv
惕	paph
惆	pbgr
惟	pog
悸	phdd
惚	pphp
惑	imp
惡	mmp
悲	lyp
悶	anp
惠	jip
愜	psko
愣	pwls
惺	pahm
愕	prrs
惰	pkmb
惻	pbcn
惴	pumb
慨	paiu
惱	pvvw
愎	poae
惶	phag
愉	pomn
愀	phdf
愚	wbp
意	ytap
慈	tvip
感	irp
想	dup
愛	bbpe
惹	tkrp
愁	hfp
愈	ombp
慎	pjbc
慌	ptyu
慄	pmwd
慍	pwot
愾	pond
愴	poir
愧	phui
慇	hep
愿	mfp
態	ipp
慷	pile
慢	pawe
慣	pwjc
慟	phgs
慚	pjjl
慘	piih
慶	ixe
慧	qjsmp
慮	ypwp
慝	srp
慕	takp
憂	mbphe
慼	ifp
慰	sip
慫	hop
慾	cop
憧	pytg
憐	pfdq
憫	pank
憎	pcwa
憬	payf
憚	prrj
憤	pjtc
憔	pogf
憲	jqmp
憑	ifp
憩	hup
憊	obp
懍	pywd
憶	pytp
憾	pirp
懂	pthg
懊	phbk
懈	pnbq
應	iogp
懇	bvp
懦	pmbb
懣	ebp
懲	hkp
懷	pywv
懶	pdlc
懵	ptwu
懸	bfp
懺	poim
懼	pbug
懾	psjj
懿	gtmop
戀	vfp
戈	i
戊	ih
戎	ij
戌	ihm
戍	ihi
成	ihs
戒	it
我	hqi
或	irm
戕	vmi
戚	ihymf
戛	mui
戟	jji
戡	tvi
戢	rji
截	jiog
戮	shi
戰	rji
戲	yti
戴	jiwtc
戳	sgi
戶	hs
房	hsyhs
戾	hsik
所	hshml
扁	hsbt
扇	hssmm
扈	hsrau
扉	hslmy
手	q
才	dh
扎	qu
打	qmn
扔	qnhs
扒	qc
扣	qr
扛	qm
托	qhp
抄	qfh
抗	qyhn
抖	qyj
技	qje
扶	qqo
抉	qdk
扭	qng
把	qau
扼	qmsu
找	qi
批	qpp
扳	qhe
抒	qnin
扯	qylm
折	qhml
扮	qcsh
投	qhne
抓	qhlo
抑	qhvl
承	nnqo
拉	qyt
拌	qfq
拄	qyg
抿	qrvp
拂	qlln
抹	qdj
拒	qss
招	qshr
披	qdhe
拓	qmr
拔	qikk
拋	qkus
拈	qyr
抨	qmfj
抽	qlw
押	qwl
拐	qrsh
拙	quu
拇	qwyi
拍	qha
抵	qhpm
拚	qit
抱	qpru
拘	qpr
拖	qopd
拗	qvis
拆	qhmy
抬	qir
拎	qoii
拜	hqmqj
挖	qjcn
按	qjv
拼	qyjj
拭	qipm
持	qgdi
拮	qgr
拽	qlwp
指	qpa
拱	qtc
拷	qjks
拯	qnem
括	qhjr
拾	qomr
拴	qomg
挑	qlmo
拳	fqq
挈	qhq
拿	orq
捎	qfb
挾	qkoo
振	qmmv
捕	qijb
捂	qmmr
捆	qwd
捏	qag
捏	qhxg
捉	qryo
挺	qnkg
捐	qrb
挽	qnau
挪	qsql
挫	qoog
挨	qiok
掠	qyrf
控	qjcm
捲	qfqu
掖	qyok
探	qbcd
接	qytv
捷	qjlo
捧	qqkq
掘	qsuu
措	qta
捱	qmgg
掩	qklu
掉	qyaj
掃	qsmb
掛	qggy
捫	qan
推	qog
掄	qomb
授	qbbe
掙	qbsd
採	qbd
掬	qpfd
排	qlmy
掏	qpou
掀	qhlo
捻	qoip
捩	qhsk
捨	qomr
掣	hnq
掌	fbrq
描	qtw
揀	qdwf
揩	qppa
揉	qnhd
揆	qnok
揍	qqkk
插	qhjx
揣	qumb
提	qamo
握	qsmg
揖	qrsj
揭	qapv
揮	qbjj
捶	qhjm
援	qbme
揪	qhdf
換	qnbk
摒	qsyj
揚	qamh
搓	qtqm
搾	qjcs
搞	qyrb
搪	qilr
搭	qtor
搽	qtod
搬	qhye
搏	qibi
搜	qhxe
搔	qeii
損	qrbc
搶	qoir
搖	qbou
搗	qhau
撇	qfbk
摘	qycb
摔	qyij
撤	qybk
摸	qtak
摟	qllv
摺	qsma
摑	qwim
摧	quog
摩	icq
摯	giq
摹	takq
撞	qytg
撲	qtco
撈	qffs
撐	qfbh
撰	qruc
撥	qnoe
撓	qggu
撕	qtcl
撩	qkcf
撒	qtbk
撮	qase
播	qhdw
撫	qotf
撚	qbkf
撬	qhuu
擅	qywm
擁	qyvg
擋	qfbw
撻	qygq
撼	qirp
據	qypo
擄	qyps
擇	qwlj
擂	qmbw
操	qrrd
撿	qomo
擒	qoyb
擔	qncr
擎	tkq
擊	jeq
擘	sjq
擠	qyx
擰	qjpn
擦	qjbf
擬	qpko
擱	qanr
擴	qitc
擲	qtkl
擾	qmbe
攆	qqoj
擺	qwlp
擻	qlvk
攀	ddkq
攏	qybp
攘	qyrv
攔	qanw
攙	qnri
攝	qsjj
攜	quob
攤	qtog
攣	vfq
攫	qbue
攪	qhbu
攬	qswu
支	je
收	vlok
改	suok
攻	mok
放	ysok
政	mmok
故	jrok
效	ykok
敝	fbok
敖	gsok
救	ieok
教	jdok
敗	bcok
啟	hrok
敏	oyok
敘	odok
敞	fbok
敦	ydok
敢	mjok
散	tbok
敬	trok
敲	ybye
敵	ybok
敷	isok
數	lvok
整	dkmym
斂	oook
斃	fkmnp
文	yk
斑	mgykg
斐	lyyk
斗	yj
料	fdyj
斜	odyj
斟	tvyj
斡	jjoyj
斤	hml
斥	hmy
斧	ckhml
斫	mrhml
斬	jjhml
斯	tchml
新	ydhml
斷	vihml
方	yhs
於	ysoy
施	ysopd
旁	ybyhs
旅	ysohv
族	ysook
旋	ysono
旌	ysohm
旎	ysosp
旗	ysotc
旖	ysokr
既	aimvu
日	a
旦	am
早	aj
旨	pa
旬	pa
旭	kna
旱	amj
旺	amg
昔	ta
易	aphh
昌	aa
昆	app
昂	ahvl
明	ab
昀	apmm
昏	hpa
春	qka
昭	ashr
映	albk
昧	ajd
是	amyo
星	ahqm
昨	aos
時	agdi
晉	miia
晏	ajv
晃	afmu
晒	amcw
晌	ahbr
晝	lgam
晚	anau
晤	ammr
晨	ammv
晦	aowy
普	tca
晰	adhl
晴	aqmb
晶	aaa
景	ayrf
暑	ajka
智	ora
暗	ayta
暉	abjj
暇	arse
暈	abjj
暖	abme
暢	llamh
暨	auam
暮	taka
暫	jla
暴	atce
曆	mhda
曉	aggu
暹	yaog
曙	awla
曖	abbe
曠	aitc
曝	aate
曦	atgs
曰	a
曲	tw
曳	lwp
更	mlwk
曷	apvo
書	lga
曹	twa
勗	abms
曾	cwa
替	qoa
會	omwa
月	b
有	kb
服	bsle
朋	bb
朔	tub
朕	btk
朗	iib
望	ybhg
期	tcb
朝	jjb
朦	btbo
朧	bybp
木	d
朮	ijc
本	dm
未	jd
末	dj
札	du
朽	dmvs
朴	dy
朱	hjd
朵	hnd
束	dl
李	dnd
杏	dr
材	ddh
村	ddi
杜	dg
杖	djk
杞	dsu
杉	dhhh
杭	dyhn
枋	dyhs
枕	dlbu
東	dw
果	wd
杳	da
杷	dau
枇	dpp
枝	dje
林	dd
杯	dmf
杰	df
板	dhe
枉	dmg
松	dci
析	dhml
杵	doj
枚	dok
柿	dylb
染	end
柱	dyg
柔	nhd
某	tmd
柬	dwf
架	krd
枯	djr
柵	dbt
柩	dsno
柯	dmnr
柄	dmob
柑	dtm
枴	drsh
柚	dlw
查	dam
枸	dpr
柏	dha
柞	dos
柳	dhhl
校	dyck
核	dyvo
案	jvd
框	dsmg
桓	dmam
根	dav
桂	dgg
桔	dgr
栩	dsmm
梳	dyiu
栗	mwd
桌	yad
桑	eeed
栽	jid
柴	ypd
桐	dbmr
桀	nqd
格	dher
桃	dlmo
株	dhjd
桅	dnmu
栓	domg
梁	eid
梯	dcnh
梢	dfb
梓	dytj
梵	ddhni
桿	damj
桶	dnib
梱	dwd
梧	dmmr
梗	dmlk
械	dit
梃	dnkg
棄	yitd
梭	dice
梆	dqjl
梅	dowy
梔	dhmu
條	olod
梨	hnd
梟	hayd
棺	djrr
棕	djmf
棠	fbrd
棘	dbdb
棗	dbdb
椅	dkmr
棟	ddw
棵	dwd
森	ddd
棧	dii
棹	dyaj
棒	dqkq
棲	djlv
棣	dle
棋	dtmc
棍	dapp
植	djbm
椒	dyfe
椎	dog
棉	dhab
棚	dbb
榔	diil
業	tctd
楚	ddnyo
楷	dppa
楠	djbj
楔	dqhk
極	dmem
椰	dsjl
概	daiu
楊	damh
楨	dybc
楫	drsj
楞	dwls
楓	dhni
楹	dnst
榆	domn
榜	dybs
榨	djcs
榕	djcr
槁	dyrb
榮	ffbd
槓	dmbc
構	dttb
榛	dqkd
榷	dobg
榻	dasm
榫	dogj
榴	dhhw
槐	dhui
槍	doir
榭	dhhi
槌	dyhr
樣	dtge
樟	dytj
槨	dydl
樁	dqkx
樞	dsrr
標	dmwf
槽	dtwa
模	dtak
樓	dllv
樊	ddk
槳	vid
樂	vid
樅	dhoo
樽	dtwi
樸	dtco
樺	dtmj
橙	dnot
橫	dtmc
橘	dnhb
樹	dgti
橄	dmjk
橢	dnlb
橡	dnao
橋	dhkb
橇	dhuu
樵	dogf
機	dvii
檀	dywm
檔	dfbw
檄	dhsk
檢	domo
檜	doma
櫛	dhal
檳	djmc
檬	dtbo
櫃	dslc
檻	dsmt
檸	djpn
櫂	dsmg
櫥	digi
櫝	dgwc
櫚	danr
櫓	dnwa
